Ticker,Security,GICS Sector,GICS Sub-Industry
ORLY,O'Reilly Automotive Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
COR,Cencora Inc. Common Stock,Health Care,Health Care
GLW,Corning Incorporated Common Stock,Industrials,Industrials
DVN,Devon Energy Corporation Common Stock,Energy,Energy
EW,Edwards Lifesciences Corporation Common Stock,Health Care,Health Care
SPG,Simon Property Group Inc. Common Stock,Real Estate,Real Estate
TMUS,T-Mobile US Inc. Common Stock,Telecommunications,Telecommunications
SO,Southern Company (The) Common Stock,Utilities,Utilities
PCG,Pacific Gas & Electric Co. Common Stock,Utilities,Utilities
ETN,Eaton Corporation PLC Ordinary Shares,Technology,Technology
ISRG,Intuitive Surgical Inc. Common Stock,Health Care,Health Care
LIN,Linde plc Ordinary Shares,Basic Materials,Basic Materials
TSN,Tyson Foods Inc. Common Stock,Consumer Staples,Consumer Staples
ZTS,Zoetis Inc. Class A Common Stock,Health Care,Health Care
ADSK,Autodesk Inc. Common Stock,Technology,Technology
PPG,PPG Industries Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
ICE,Intercontinental Exchange Inc. Common Stock,Finance,Finance
LRCX,Lam Research Corporation Common Stock,Technology,Technology
SYY,Sysco Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
INCY,Incyte Corp. Common Stock,Health Care,Health Care
ALL,Allstate Corporation (The) Common Stock,Finance,Finance
MOS,Mosaic Company (The) Common Stock,Industrials,Industrials
LEN,Lennar Corporation Class A Common Stock,Consumer Discretionary,Consumer Discretionary
CAH,Cardinal Health Inc. Common Stock,Health Care,Health Care
STT,State Street Corporation Common Stock,Finance,Finance
DHI,D.R. Horton Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
EL,Estee Lauder Companies Inc. (The) Common Stock,Consumer Discretionary,Consumer Discretionary
BDX,Becton Dickinson and Company Common Stock,Health Care,Health Care
PH,Parker-Hannifin Corporation Common Stock,Industrials,Industrials
NEM,Newmont Corporation,Basic Materials,Basic Materials
PRU,Prudential Financial Inc. Common Stock,Finance,Finance
APD,Air Products and Chemicals Inc. Common Stock,Basic Materials,Basic Materials
ECL,Ecolab Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples,Consumer Staples
ULTA,Ulta Beauty Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
LH,Labcorp Holdings Inc. Common Stock,Health Care,Health Care
FFIV,F5 Inc. Common Stock,Telecommunications,Telecommunications
GWW,W.W. Grainger Inc. Common Stock,Industrials,Industrials
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Technology
FSLR,First Solar Inc. Common Stock,Technology,Technology
CF,CF Industries Holdings Inc. Common Stock,Industrials,Industrials
ADP,Automatic Data Processing Inc. Common Stock,Industrials,Industrials
ITW,Illinois Tool Works Inc. Common Stock,Industrials,Industrials
CCI,Crown Castle Inc. Common Stock,Real Estate,Real Estate
ROST,Ross Stores Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
ZBH,Zimmer Biomet Holdings Inc. Common Stock,Health Care,Health Care
TAP,Molson Coors Beverage Company Class B Common Stock,Consumer Staples,Consumer Staples
ADI,Analog Devices Inc. Common Stock,Technology,Technology
STZ,Constellation Brands Inc. Common Stock,Consumer Staples,Consumer Staples
KMB,Kimberly-Clark Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
WDAY,Workday Inc. Class A Common Stock,Technology,Technology
GIS,General Mills Inc. Common Stock,Consumer Staples,Consumer Staples
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,Consumer Discretionary,Consumer Discretionary
SPGI,S&P Global Inc. Common Stock,Finance,Finance
BBY,Best Buy Co. Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
MLM,Martin Marietta Materials Inc. Common Stock,Industrials,Industrials
BKR,Baker Hughes Company Class A Common Stock,Consumer Discretionary,Consumer Discretionary
AMP,Ameriprise Financial Inc. Common Stock,Finance,Finance
D,Dominion Energy Inc. Common Stock,Utilities,Utilities
TT,Trane Technologies plc,Industrials,Industrials
SYK,Stryker Corporation Common Stock,Health Care,Health Care
RF,Regions Financial Corporation Common Stock,Finance,Finance
WELL,Welltower Inc. Common Stock,Real Estate,Real Estate
RL,Ralph Lauren Corporation Common Stock,Industrials,Industrials
TPR,Tapestry Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
SYF,Synchrony Financial Common Stock,Finance,Finance
HIG,The Hartford Insurance Group Inc. Common Stock,Finance,Finance
VTR,Ventas Inc. Common Stock,Real Estate,Real Estate
AEP,American Electric Power Company Inc. Common Stock,Utilities,Utilities
FITB,Fifth Third Bancorp Common Stock,Finance,Finance
TEL,TE Connectivity plc Ordinary Shares,Technology,Technology
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,Finance
NOW,ServiceNow Inc. Common Stock,Technology,Technology
SBAC,SBA Communications Corporation Class A Common Stock,Real Estate,Real Estate
TFC,Truist Financial Corporation Common Stock,Finance,Finance
EQT,EQT Corporation Common Stock,Energy,Energy
CNC,Centene Corporation Common Stock,Health Care,Health Care
AFL,AFLAC Incorporated Common Stock,Finance,Finance
HST,Host Hotels & Resorts Inc. Common Stock,Real Estate,Real Estate
PHM,PulteGroup Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
BX,Blackstone Inc. Common Stock,Finance,Finance
KEY,KeyCorp Common Stock,Finance,Finance
MAS,Masco Corporation Common Stock,Industrials,Industrials
